"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2018-03-01","14.54",",,W","0.81",",,W,2400","0.0",",,W","0.0",",,W,2400","39","H,,S","46",",,W","34",",,W","   10",",,W","   10",",,W","25.1",",,W","33.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2018-03-02","6.26",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","38","H,,S","48",",,W","30",",,W","  100",",,W","  100",",,W","13.0",",,W","15.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2018-03-03","7.83",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","38","H,,S","43",",,W","33",",,W","   70",",,W","  100",",,W","15.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2018-03-04","12.30",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","38","H,,S","46",",,W","32",",,W","  120",",,W","  120",",,W","21.9",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2018-03-05","17.45",",,W","0.11",",,W,2400","0.4",",,W","0.0",",,W,2400","37","H,,S","40",",,W","33",",,W","  110",",,W","  120",",,W","28.0",",,W","36.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2018-03-06","8.72",",,W","0.07",",,W,2400","0.0","T,,W","0.0",",,W,2400","35","H,,S","41",",,W","31",",,W","  330",",,W","  320",",,W","23.0",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2018-03-07","13.65",",,W","0.00","T,,W,2400","0.0","T,,W","0.0",",,W,2400","31","H,,S","34",",,W","25",",,W","  320",",,W","  330",",,W","21.9",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2018-03-08","11.18",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","28","H,,S","34",",,W","24",",,W","  330",",,W","  310",",,W","21.0",",,W","23.9",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2018-03-09","6.49",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","30","H,,S","41",",,W","23",",,W","  320",",,W","  320",",,W","14.1",",,W","21.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2018-03-10","5.59",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","33","H,,S","41",",,W","23",",,W","   90",",,W","  100",",,W","13.0",",,W","17.0",",,W",,,,,,,,,,,,,,,,
